"Month","Avg. Players","Gain","% Gain","Peak Players","Game","Genre"
"March 2022",38288.82,"-1055.84","-2.68%",64639,"Sid Meier's Civilization VI","Singleplayer"
"February 2022",39344.66,"-2364.15","-5.67%",61321,"Sid Meier's Civilization VI","Singleplayer"
"January 2022",41708.81,"7682.62","+22.58%",64436,"Sid Meier's Civilization VI","Singleplayer"
"December 2021",34026.19,"2208.66","+6.94%",52505,"Sid Meier's Civilization VI","Singleplayer"
"November 2021",31817.53,"1462.04","+4.82%",54447,"Sid Meier's Civilization VI","Singleplayer"
"October 2021",30355.5,"-8278.61","-21.43%",50982,"Sid Meier's Civilization VI","Singleplayer"
"September 2021",38634.11,"7203.65","+22.92%",71565,"Sid Meier's Civilization VI","Singleplayer"
"August 2021",31430.46,"-3794.54","-10.77%",49218,"Sid Meier's Civilization VI","Singleplayer"
"July 2021",35225,"5580.48","+18.82%",65677,"Sid Meier's Civilization VI","Singleplayer"
"June 2021",29644.52,"-1304.14","-4.21%",45842,"Sid Meier's Civilization VI","Singleplayer"
"May 2021",30948.66,"-4043.99","-11.56%",49509,"Sid Meier's Civilization VI","Singleplayer"
"April 2021",34992.65,"559.52","+1.62%",59532,"Sid Meier's Civilization VI","Singleplayer"
"March 2021",34433.13,"-7281.99","-17.46%",64220,"Sid Meier's Civilization VI","Singleplayer"
"February 2021",41715.13,"4983.63","+13.57%",68161,"Sid Meier's Civilization VI","Singleplayer"
"January 2021",36731.49,"3914.54","+11.93%",65951,"Sid Meier's Civilization VI","Singleplayer"
"December 2020",32816.95,"-1129.47","-3.33%",55126,"Sid Meier's Civilization VI","Singleplayer"
"November 2020",33946.42,"1452.50","+4.47%",53338,"Sid Meier's Civilization VI","Singleplayer"
"October 2020",32493.92,"1354.84","+4.35%",54203,"Sid Meier's Civilization VI","Singleplayer"
"September 2020",31139.08,"-2571.89","-7.63%",54546,"Sid Meier's Civilization VI","Singleplayer"
"August 2020",33710.97,"-3933.71","-10.45%",53037,"Sid Meier's Civilization VI","Singleplayer"
"July 2020",37644.69,"-2154.36","-5.41%",64392,"Sid Meier's Civilization VI","Singleplayer"
"June 2020",39799.04,"-1993.32","-4.77%",60936,"Sid Meier's Civilization VI","Singleplayer"
"May 2020",41792.36,"-1765.87","-4.05%",76439,"Sid Meier's Civilization VI","Singleplayer"
"April 2020",43558.23,"7723.30","+21.55%",70298,"Sid Meier's Civilization VI","Singleplayer"
"March 2020",35834.93,"5763.98","+19.17%",66455,"Sid Meier's Civilization VI","Singleplayer"
"February 2020",30070.95,"-2674.58","-8.17%",49558,"Sid Meier's Civilization VI","Singleplayer"
"January 2020",32745.53,"3065.72","+10.33%",55195,"Sid Meier's Civilization VI","Singleplayer"
"December 2019",29679.81,"6039.46","+25.55%",51209,"Sid Meier's Civilization VI","Singleplayer"
"November 2019",23640.35,"-1313.73","-5.26%",42632,"Sid Meier's Civilization VI","Singleplayer"
"October 2019",24954.09,"3111.15","+14.24%",44349,"Sid Meier's Civilization VI","Singleplayer"
"September 2019",21842.94,"-902.99","-3.97%",36440,"Sid Meier's Civilization VI","Singleplayer"
"August 2019",22745.93,"-3271.54","-12.57%",35714,"Sid Meier's Civilization VI","Singleplayer"
"July 2019",26017.47,"4154.07","+19.00%",42115,"Sid Meier's Civilization VI","Singleplayer"
"June 2019",21863.4,"-1882.91","-7.93%",38968,"Sid Meier's Civilization VI","Singleplayer"
"May 2019",23746.31,"-528.74","-2.18%",40585,"Sid Meier's Civilization VI","Singleplayer"
"April 2019",24275.05,"-10844.22","-30.88%",43605,"Sid Meier's Civilization VI","Singleplayer"
"March 2019",35119.27,"-6576.34","-15.77%",64714,"Sid Meier's Civilization VI","Singleplayer"
"February 2019",41695.61,"14974.43","+56.04%",93889,"Sid Meier's Civilization VI","Singleplayer"
"January 2019",26721.18,"-35.43","-0.13%",47654,"Sid Meier's Civilization VI","Singleplayer"
"December 2018",26756.61,"6289.73","+30.73%",47729,"Sid Meier's Civilization VI","Singleplayer"
